SUBSTANCE	DEA NUMBER	CSA SCH	NARC	OTHER NAMES
(1-(4-fluorobenzyl)-1h-indol-3-yl)(2,2,3,3­ tetramethylcyclopropyl)methanone	7014	I	N	fub-144
[3,2-c]-furazan-5α-androstan-17β-ol	4000	III	N	
[3,2-c]pyrazole-androst-4-en-17β-ol	4000	III	N	
1-(1-phenylcyclohexyl)pyrrolidine	7458	I	N	pcpy, php, rolicyclidine
1-(2-phenylethyl)-4-phenyl-4-acetoxypiperidine	9663	I	Y	pepap, synthetic heroin
1-(5-fluoropentyl)-n-(2-phenylpropan-2-yl)-1h­ indazole-3-carboxamide	7083	I	N	5f-cumyl-pinaca; sgt-25
1-[1-(2-thienyl)cyclohexyl]piperidine	7470	I	N	tcp, tenocyclidine
1-[1-(2-thienyl)cyclohexyl]pyrrolidine	7473	I	N	tcpy
13beta-ethyl-17beta-hydroxygon-4-en-3-one	4000	III	N	
17alpha-methyl-3alpha,17beta-dihydroxy-5alpha­ androstane	4000	III	N	
17alpha-methyl-3beta,17beta-dihydroxy-5alpha­ androstane	4000	III	N	
17alpha-methyl-3beta,17beta-dihydroxyandrost-4-ene	4000	III	N	
17alpha-methyl-4-hydroxynandrolone (17alpha-methyl­ 4-hydroxy-17beta-hydroxyestr-4-en-3-one)	4000	III	N	
17alpha-methyl-delta1-dihydrotestosterone (17beta­ hydroxy-17alpha-methyl-5alpha-androst-1-en-3-one)	4000	III	N	17-alpha-methyl-1-testosterone
17α-methyl-5α-androstan-17β-ol	4000	III	N	
17α-methyl-androst-2-ene-3,17β-diol	4000	III	N	
17α-methyl-androsta-1,4-diene-3,17β-diol	4000	III	N	
17α-methyl-androstan-3-hydroxyimine-17β-ol	4000	III	N	
17β-hydroxy-androstano[2,3-d]isoxazole	4000	III	N	
17β-hydroxy-androstano[3,2-c]isoxazole	4000	III	N	
18a-homo-3-hydroxy-estra-2,5(10)-dien-17-one	4000	III	N	
19-nor-4,9(10)-androstadienedione	4000	III	N	
19-nor-4-androstenediol (3beta,17beta-dihydroxyestr-4­ ene; 3alpha,17beta-dihydroxyestr-4-ene)	4000	III	N	
19-nor-4-androstenedione (estr-4-en-3,17-dione)	4000	III	N	
19-nor-5-androstenediol (3beta,17beta-dihydroxyestr-5­ ene; 3alpha,17beta-dihydroxyestr-5-ene)	4000	III	N	
19-nor-5-androstenedione (estr-5-en-3,17-dione)	4000	III	N	
1-androstenediol (3beta,17beta-dihydroxy-5alpha­ androst-1-ene; 3alpha,17beta-dihydroxy-5alpha­ androst-1-ene)	4000	III	N	
1-androstenedione (5alpha-androst-1-en-3,17-dione)	4000	III	N	
1-methyl-4-phenyl-4-propionoxypiperidine	9661	I	Y	mppp, synthetic heroin
1-phenylcyclohexylamine	7460	II	N	pcp precursor
1-piperidinocyclohexanecarbonitrile	8603	II	N	pcc, pcp precursor
2-(2,5-dimethoxy-4-(n)-propylphenyl) ethanamine (2c­-p)	7524	I	N	2c-p
2-(2,5-dimethoxy-4-ethylphenyl) ethanamine (2c-e )	7509	I	N	2c-e (positional isomer: 2,5-dimethoxy-3,4-dimethylphenethylamine (2c-g))­
2-(2,5-dimethoxy-4-methylphenyl) ethanamine (2c-d)	7508	I	N	2c-d
2-(2,5-dimethoxy-4-nitro-phenyl) ethanamine (2c-n)	7521	I	N	2c-n
2-(2,5-dimethoxyphenyl) ethanamine (2c-h)	7517	I	N	2c-h
2-(4-bromo-2,5-dimethoxyphenyl)-n-(2-methoxybenzyl) ethanamine (25b-nbome)	7536	I	N	25b-nbome, 2c-b-nbome, 25b, cimbi-36
2-(4-chloro-2,5-dimethoxyphenyl) ethanamine (2c-c)	7519	I	N	2c-c
2-(4-chloro-2,5-dimethoxyphenyl)-n-(2-methoxybenzyl) ethanamine (25c-nbome)	7537	I	N	25c-nbome, 2c-c-nbome, 25c, cimbi-82
2-(4-ethylthio-2,5-dimethoxyphenyl) ethanamine (2c­-t-2 )	7385	I	N	2c-t-2
2-(4-iodo-2,5-dimethoxyphenyl) ethanamine (2c-i)	7518	I	N	2c-i
2-(4-iodo-2,5-dimethoxyphenyl)-n-(2-methoxybenzyl) ethanamine (25i-nbome)	7538	I	N	25i-nbome, 2c-i-nbome, 25i, cimbi-5
2-(4-isopropylthio)-2,5-dimethoxyphenyl) ethanamine (2c-t-4 )	7532	I	N	2c-t-4 (positional isomer: 2,5-dimethoxy-4-ethylthioamphetamine (aleph-2))­
2,5-dimethoxy-4-(n)-propylthiophenethylamine (2c-t­-7)	7348	I	N	2c-t-7 (positional isomer: 2,5-dimethoxy-4-ethylthioamphetamine (aleph-2))­
2,5-dimethoxy-4-ethylamphetamine	7399	I	N	doet
2,5-dimethoxyamphetamine	7396	I	N	dma, 2,5-dma
2-methoxy-n-(1-phenethylpiperidin-4-yl)-n­-phenylacetamide	9825	I	Y	methoxyacetyl fentanyl
2α,17α-dimethyl-17β-hydroxy-5β-androstan-3-one	4000	III	N	
2α,3α-epithio-17α-methyl-5α-androstan-17β-ol	4000	III	N	
