Slang	Associated Drug
151s	crack cocaine
357s	hydrocodone (norco®, vicodin®, lorcet®)
501s	crack cocaine
512s	"acetaminophen and oxycodone combination (percocet®); oxycodone
(oxycontin®, roxicodone®, oxaydo®)"
abajo	heroin
abby	amphetamine and dextroamphetamine combination (adderall®)
a-bomb	heroin mixed with marijuana
abyss	synthetic cannabinoids
abyssian tea	khat
acapulco gold	marijuana
acapulco red	marijuana
accordion	methamphetamine
ace of spades	synthetic cannabinoids
aceite	lsd (lysergic acid diethylamide)
acelerador	amphetamine
acelide	lsd (lysergic acid diethylamide)
achivia	heroin
acid	lsd (lysergic acid diethylamide)
acido	lsd (lysergic acid diethylamide)
adam	ecstasy/mdma/molly
addy	amphetamine and dextroamphetamine combination (adderall®)
adidas	cocaine
adormidera	heroin
african black	marijuana
african bush	marijuana
african salad	khat
ah-pen-yen	opium
airplane	marijuana
ak-47	synthetic cannabinoids
alfalfa	marijuana
alfombra	marijuana
alice	lsd (lysergic acid diethylamide); psilocybin mushrooms
alice b toklas	marijuana
alien sex fiend	pcp mixed with heroin
all-american drug	cocaine
all-star	marijuana
almohada	marijuana
amarilla	heroin
amnesia	synthetic cannabinoids
amoeba	pcp (phencyclidine)
amps	"amphetamine; amphetamine and dextroamphetamine combination
(adderall®)"
ancla	cocaine
anestesia de
caballo"	heroin mixed with the horse anesthetic xylazine
angel	pcp (phencyclidine)
angel dust	pcp (phencyclidine)
angel hair	pcp (phencyclidine)
angel mist	pcp (phencyclidine)
angel poke	pcp (phencyclidine)
angel powder	cocaine
angels in a sky	lsd (lysergic acid diethylamide)
angie	cocaine
angola	marijuana
animal	lsd (lysergic acid diethylamide)
animal cookies	hydroponic marijuana
animal tranquilizer	pcp (phencyclidine)
animals	cocaine
antifreeze	heroin
apache	cocaine; fentanyl and fentanyl derivatives
apodo	cocaine; heroin
apple jack	crack cocaine
aqua	methamphetamine
arizona	marijuana
arnolds	steroids
arpon	heroin
arriba	cocaine
arroz	methamphetamine
ashes	marijuana
assembled	crystal meth
asshy larry	pcp (phencyclidine)
atomic blast	synthetic cannabinoids
a-train	amphetamine and dextroamphetamine combination (adderall®)
audi	cocaine
aunt emma	opium
aunt hazel	heroin
aunt mary	marijuana
aunt nora	cocaine
auntie	opium
aurora borealis	pcp (phencyclidine)
avandaro	lsd (lysergic acid diethylamide)
avocado	heroin
azucar	cocaine; heroin
baby	marijuana
baby powder	cocaine
baby slits	ecstasy/mdma/molly
baby t	crack cocaine
backbreaker	lsd mixed with strychnine
bad seed	heroin
baja corte	diluted heroin
bale	marijuana
ballot	heroin
bambalachacha	marijuana
bananas	"acetaminophen and oxycodone combination (percocet®); hydrocodone
(norco®, vicodin®, lorcet®)
barbara jean	marijuana
bareta	marijuana
barrato	cocaine
barrel	lsd (lysergic acid diethylamide)
barry farrell	ketamine (ketalar®)
bars	alprazolam (xanax®)
bart simpson	lsd (lysergic acid diethylamide)
base	crack cocaine
baseball	crack cocaine
bash	marijuana
basketball	heroin
basuco	cocaine
basura	heroin
bath blow	synthetic cathinones
bath salts	synthetic cathinones
battery acid	lsd (lysergic acid diethylamide)
batu	methamphetamine
bazooka	cocaine paste mixed with marijuana; crack cocaine
b-bombs	amphetamine
bc budd	marijuana
beach	cocaine
beam me up	crack cocaine
beans	"amphetamine; ecstasy/mdma/molly; oxycodone (oxycontin®,
roxicodone®, oxaydo®)"
beast	heroin; lsd (lysergic acid diethylamide)
beautiful boulders	crack cocaine
beemer	crack cocaine
beers	methamphetamine
begok	methamphetamine
belushi	cocaine mixed with heroin
bennies	amphetamine
benzos	alprazolam (xanax®); amphetamine; clonazepam (klonopin®)
bernice	cocaine
bernie	marijuana
bernie’s flakes	cocaine
bernie’s gold dust	cocaine
beyonce	heroin
bhang	marijuana
bhno	marijuana concentrates/hash oil
bicycle handle bars	alprazolam (xanax®)
bicycle parts	alprazolam (xanax®)
big bag	heroin
big bang	synthetic cannabinoids
big bird	cocaine
big bloke	cocaine
big c	cocaine
big chief	mescaline/peyote
big d	lsd (lysergic acid diethylamide)
big flake	cocaine
big h	heroin
big harry	heroin
big o	opium
big pillows	marijuana
big rush	cocaine
biggy	marijuana
biker’s coffee	methamphetamine
bill blass	crack cocaine
billie hoke	cocaine
bings	crack cocaine
bionic	marijuana mixed with pcp
bird	cocaine; heroin
birdie powder	cocaine; heroin
birria	fentanyl mixed with heroin; heroin
birria blanca	heroin
black	heroin; opium
black acid	lsd mixed with pcp
black and whites	amphetamine
black bart	marijuana
black beauties	amphetamine
black birds	amphetamine
black bitch	heroin
black bombers	amphetamine
black button	mescaline/peyote
black glass	marijuana concentrates/hash oil
black goat	heroin
black gold	marijuana
black magic smoke	synthetic cannabinoids
black mamba	synthetic cannabinoids
black maria	marijuana
black mollies	amphetamine
black olive	heroin
black paint	heroin
black pearl	heroin
black pill	opium
black rock	crack cocaine
black russian	opium mixed with hashish
black sheep	heroin
black shirt	heroin
black star	lsd (lysergic acid diethylamide)
black sunshine	lsd (lysergic acid diethylamide)
black tabs	lsd (lysergic acid diethylamide)
black tar	heroin
black whack	pcp (phencyclidine)
blacks	amphetamine
blanca nieves	cocaine
blanco	cocaine; heroin
blanco de españa	lsd (lysergic acid diethylamide)
blast	cocaine
blaze	synthetic cannabinoids
blind squid	ketamine (ketalar®)
bliss	synthetic cannabinoids; synthetic cathinones
blizzard	cocaine
blocks	cocaine
blonde	cocaine; fentanyl and fentanyl derivatives
blondie	marijuana
bloom	synthetic cathinones
blotter acid	lsd (lysergic acid diethylamide)
blotter cube	lsd (lysergic acid diethylamide)
blow	cocaine; synthetic cathinones
blow dope	heroin
blowcaine	crack cocaine
blowout	crack cocaine; ghb (gamma-hydroxybutyric acid)
blue	"acetaminophen and oxycodone combination (percocet®); crack
cocaine; heroin; methamphetamine"
blue acid	lsd (lysergic acid diethylamide)
blue barrel	lsd (lysergic acid diethylamide)
blue bell ice cream	methamphetamine
blue boys	amphetamine
blue caps	mescaline/peyote
blue chair	lsd (lysergic acid diethylamide)
blue cheer	lsd (lysergic acid diethylamide)
blue cheese	marijuana; synthetic cannabinoids
blue crush	marijuana
blue diamond	fentanyl and fentanyl derivatives
blue dolphin	fentanyl and fentanyl derivatives
blue dream	marijuana
blue dynamite	acetaminophen and oxycodone combination (percocet®)
blue heaven	lsd (lysergic acid diethylamide)
blue hero	heroin
blue jeans	marijuana
blue kisses	ecstasy/mdma/molly
blue madman	pcp (phencyclidine)
blue meanies	psilocybin mushrooms
blue microdots	lsd (lysergic acid diethylamide)
blue mist	lsd (lysergic acid diethylamide)
blue moon	lsd (lysergic acid diethylamide)
blue sage	marijuana
blue silk	synthetic cathinones
blue sky	lsd (lysergic acid diethylamide)
blue star	lsd (lysergic acid diethylamide); pcp (phencyclidine)
blue superman	ecstasy/mdma/molly
blue tabs	lsd (lysergic acid diethylamide)
blueberries	acetaminophen and oxycodone combination (percocet®)
blueberry	marijuana
blues	"fentanyl and fentanyl derivatives; oxycodone (oxycontin®,
roxicodone®, oxaydo®)"
board	cocaine
boat	pcp (phencyclidine)
bobo	cocaine; crack cocaine
bobo bush	marijuana
bolitas	cocaine
bolivian marching
powder"	cocaine
bolo	crack cocaine
bomb	crack cocaine
bomba	lsd (lysergic acid diethylamide)
bombay blue	synthetic cannabinoids
bombita	amphetamine; heroin mixed with cocaine
bombs	ecstasy/mdma/molly
bombs away	heroin
bone	crack cocaine
bone crusher	crack cocaine
bonita	heroin
boo-boo	crack cocaine
boom	marijuana
boomers	psilocybin mushrooms
booty juice	ecstasy/mdma/molly dissolved in liquid
bottles	methamphetamine
boulder	crack cocaine
boxes	buprenorphine and naloxone combination (suboxone®)
bozo	heroin
brain freeze	synthetic cannabinoids
brain ticklers	amphetamine
branches	marijuana
brea negra	heroin
"breakfast of
champions"	crack cocaine
brick gum	heroin
bricks	alprazolam (xanax®)
brisa	cocaine
britton	mescaline/peyote
broccoli	marijuana
brown	heroin
brown bomber	lsd (lysergic acid diethylamide)
brown crystal	heroin
brown dots	lsd (lysergic acid diethylamide)
brown rhine	heroin
brown sugar	heroin
brownies	amphetamine
bruno mars	ghb (gamma-hydroxybutyric acid)
bubble gum	crack cocaine; heroin
bubble hash	marijuana concentrates/hash oil
bubbles	synthetic cathinones
bucio	methamphetamine
bud light	methamphetamine
budda	marijuana
budder	marijuana concentrates/hash oil
bullion	crack cocaine
bumblebees	amphetamine
bump	cocaine; crack cocaine; methamphetamine
bupes	buprenorphine and naloxone combination (suboxone®)
burrito	heroin
burritos verdes	marijuana
bush	marijuana
busy bee	pcp (phencyclidine)
butane hash oil	marijuana concentrates/hash oil
butane honey oil	marijuana concentrates/hash oil
butt naked	pcp (phencyclidine)
butter	fentanyl and fentanyl derivatives; heroin
